activity,cognitive,physical,social,cultural,description
Board games,1,0,0,0,"This refers to a group of games played on a board, typically involving strategy, chance, and/or skill. Examples include Monopoly, Chess, Scrabble, and Settlers of Catan."
Cooking,1,0,0,0,"This involves the preparation and cooking of food, either as a hobby or a profession. It can involve experimenting with new recipes, trying out new techniques, and using different ingredients."
Walking,1,0,0,0,"This refers to the activity of taking a leisurely walk, either alone or with others. It can be done for exercise, relaxation, or to explore one's surroundings."
Reading,1,0,0,0,"This involves the act of reading books, magazines, or other written material for pleasure, knowledge, or information."
Puzzles,1,0,0,0,"This refers to games or activities that involve solving problems, usually in the form of a puzzle. Examples include jigsaw puzzles, crossword puzzles, and Sudoku."
Craft,1,0,0,0,"This involves creating handmade items using various materials, such as paper, fabric, or wood. Examples include knitting, sewing, scrapbooking, and woodworking."
Running,0,1,0,0,"This involves jogging or running at a steady pace, either as a form of exercise or for competition."
Basketball,0,1,0,0,"This is a team sport that involves two teams of five players each, trying to score points by shooting a ball through a hoop."
Football,0,1,0,0,"This is a team sport that involves two teams of eleven players each, trying to score points by kicking a ball into the opposing team's goal."
Volleyball,0,1,0,0,"This is a team sport that involves two teams of six players each, trying to score points by hitting a ball over a net and into the opposing team's court."
Cricket,0,1,0,0,"This is a sport that involves two teams of eleven players each, trying to score points by hitting a ball with a bat and running between wickets."
Hockey,0,1,0,0,"This is a sport that involves two teams of players, trying to score points by hitting a puck into the opposing team's net using a stick."
Badminton,0,1,0,0,"This is a sport that involves two or four players, trying to hit a shuttlecock over a net and onto the opposing team's side of the court."
Tennis,0,1,0,0,"This is a sport that involves two or four players, trying to hit a ball over a net and onto the opposing team's side of the court."
Table Tennis,0,1,0,0,"This is a sport that involves two or four players, trying to hit a small ball over a net and onto the opposing team's side of a table."
Attend Workshops or Conference,0,0,1,0,"This involves attending events where individuals can learn new skills, network with others in their field, and gain new knowledge and insights."
Woodworking Class,0,0,1,0,"This involves taking classes to learn how to work with wood and create various items, such as furniture or decorative objects."
Pottery Class,0,0,1,0,"This involves taking classes to learn how to work with clay and create various pottery items, such as bowls, plates, and vases."
Movie,0,0,1,0,"This involves watching a film, either at home or at a movie theater, for entertainment or educational purposes."
Game night,0,0,1,0,"This involves getting together with friends or family to play games, such as board games, card games, or video games."
Dance,0,0,0,1,"This involves moving the body to music, either as a form of self-expression or for social and cultural purposes."
Music,0,0,0,1,"This involves listening to or playing music, either as a form of entertainment or for therapeutic purposes."
Yoga and Acrobatics,0,0,0,1,This involves practicing various yoga poses and/or acrobatic movements to improve physical and mental health.
Community Gardening,0,0,0,1,"This involves working with others in a community garden to grow fruits, vegetables, or flowers, either for personal consumption or for donation to local charities or food banks."
